run_id,sf,query,time_s,zeus_energy_j,num_samples
sf10_q0,10,q0,8.608406024053693,,126
sf10_q1,10,q1,8.783928971737623,,126
sf10_q10,10,q10,8.96852565323934,,150
sf10_q11,10,q11,9.098310278728604,,140
sf10_q12,10,q12,8.959320398978889,,133
sf10_q13,10,q13,10.176336077041924,,161
sf10_q14,10,q14,9.022061890922487,,127
sf10_q15,10,q15,8.70750681636855,,134
sf10_q16,10,q16,9.063608080148697,,139
sf10_q17,10,q17,8.942368067800999,,134
sf10_q18,10,q18,9.565306905657053,,141
sf10_q19,10,q19,8.611917610280216,,137
sf10_q2,10,q2,8.620693889912218,,141
sf10_q20,10,q20,9.474364588968456,,151
sf10_q21,10,q21,9.843993015121669,,153
sf10_q22,10,q22,11.404078714549541,,188
sf10_q23,10,q23,10.951278151012957,,173
sf10_q24,10,q24,9.001102598849684,,131
sf10_q25,10,q25,9.07462603598833,,146
sf10_q26,10,q26,8.986391389742494,,134
sf10_q27,10,q27,9.725394388195127,,145
sf10_q28,10,q28,10.540493889246136,,171
sf10_q29,10,q29,9.719917839858681,,141
sf10_q3,10,q3,8.576384023297578,,131
sf10_q30,10,q30,9.006891592871398,,140
sf10_q31,10,q31,9.130857352167368,,130
sf10_q32,10,q32,9.396324939094484,,149
sf10_q33,10,q33,9.823872737120837,,150
sf10_q34,10,q34,9.917979917954654,,147
sf10_q35,10,q35,8.93988469010219,,143
sf10_q36,10,q36,9.788203607313335,,161
sf10_q37,10,q37,9.784735436085612,,158
sf10_q38,10,q38,9.512374963145703,,150
sf10_q39,10,q39,10.816929910797626,,165
sf10_q4,10,q4,8.823920995928347,,135
sf10_q40,10,q40,8.98373038507998,,148
sf10_q41,10,q41,8.789061812218279,,132
sf10_q42,10,q42,8.806487216148525,,142
sf10_q5,10,q5,10.206226997077465,,155
sf10_q6,10,q6,8.817838285118341,,130
sf10_q7,10,q7,8.58671700116247,,137
sf10_q8,10,q8,10.756084532942623,,158
sf10_q9,10,q9,10.834134167060256,,149
sf20_q0,20,q0,8.38303883280605,,138
sf20_q1,20,q1,8.698281742166728,,131
sf20_q10,20,q10,9.352849774993956,,149
sf20_q11,20,q11,9.51368470909074,,149
sf20_q12,20,q12,9.07806058600545,,138
sf20_q13,20,q13,10.749229180626571,,177
sf20_q14,20,q14,9.154354714788496,,151
sf20_q15,20,q15,8.909934830851853,,139
sf20_q16,20,q16,9.453618431929499,,143
sf20_q17,20,q17,9.466753605753183,,153
sf20_q18,20,q18,9.77963026985526,,144
sf20_q19,20,q19,8.624525389168411,,132
sf20_q2,20,q2,8.742423887830228,,143
sf20_q20,20,q20,10.372184121981263,,187
sf20_q21,20,q21,10.741822014097124,,166
sf20_q22,20,q22,13.249641126021743,,207
sf20_q23,20,q23,12.551451383158565,,207
sf20_q24,20,q24,9.135804548859596,,158
sf20_q25,20,q25,9.006661486811936,,141
sf20_q26,20,q26,9.42841213895008,,147
sf20_q27,20,q27,10.453098848927766,,174
sf20_q28,20,q28,11.47370929736644,,187
sf20_q29,20,q29,9.611056163907051,,150
sf20_q3,20,q3,8.904012334998697,,137
sf20_q30,20,q30,9.478159722872078,,140
sf20_q31,20,q31,9.667413691990077,,137
sf20_q32,20,q32,9.707495408132672,,162
sf20_q33,20,q33,10.421066755894572,,164
sf20_q34,20,q34,10.23919242201373,,157
sf20_q35,20,q35,9.075635179877281,,141
sf20_q36,20,q36,10.33115176577121,,158
sf20_q37,20,q37,10.627056967932731,,159
sf20_q38,20,q38,10.274119121953845,,170
sf20_q39,20,q39,11.896688980050385,,185
sf20_q4,20,q4,8.854635420721024,,135
sf20_q40,20,q40,9.229576328769326,,141
sf20_q41,20,q41,9.195806376636028,,138
sf20_q42,20,q42,8.894289089832455,,128
sf20_q5,20,q5,10.673077612183988,,167
sf20_q6,20,q6,8.780085196252912,,129
sf20_q7,20,q7,8.741771668195724,,139
sf20_q8,20,q8,12.083130554296076,,196
sf20_q9,20,q9,12.103189933113754,,191
sf50_q0,50,q0,8.601366988848895,,128
sf50_q1,50,q1,8.673193717841059,,132
sf50_q10,50,q10,9.857719419989735,,148
sf50_q11,50,q11,10.164489213842899,,171
sf50_q12,50,q12,9.85010351287201,,155
sf50_q13,50,q13,12.529840449336916,,210
sf50_q14,50,q14,9.885803929995745,,157
sf50_q15,50,q15,9.171295299194753,,146
sf50_q16,50,q16,10.323360210750252,,169
sf50_q17,50,q17,10.417217617854476,,156
sf50_q18,50,q18,11.067032018210739,,172
sf50_q19,50,q19,8.879648169036955,,131
sf50_q2,50,q2,8.912430698052049,,129
sf50_q20,50,q20,12.518307100981474,,213
sf50_q21,50,q21,13.846052166074514,,227
sf50_q22,50,q22,105.58841476310045,,1751
sf50_q23,50,q23,17.063337157014757,,276
sf50_q24,50,q24,9.945104867219925,,154
sf50_q25,50,q25,9.697856607846916,,146
sf50_q26,50,q26,10.102067733183503,,154
sf50_q27,50,q27,14.007573325186968,,249
sf50_q28,50,q28,40.24151677964255,,676
sf50_q29,50,q29,9.484878055751324,,140
sf50_q3,50,q3,8.919621717184782,,144
sf50_q30,50,q30,10.416786544024944,,163
sf50_q31,50,q31,10.794301426969469,,175
sf50_q32,50,q32,11.226725016720593,,179
sf50_q33,50,q33,12.687644864898175,,210
sf50_q34,50,q34,12.70640844013542,,213
sf50_q35,50,q35,9.523865533061326,,148
sf50_q36,50,q36,12.750986993312836,,209
sf50_q37,50,q37,12.779494166839868,,211
sf50_q38,50,q38,12.628162366338074,,187
sf50_q39,50,q39,16.41390365920961,,248
sf50_q4,50,q4,8.972486552316695,,130
sf50_q40,50,q40,10.114023588132113,,151
sf50_q41,50,q41,9.89608988398686,,164
sf50_q42,50,q42,9.41391555313021,,148
sf50_q5,50,q5,12.258638058323413,,206
sf50_q6,50,q6,8.947830950841308,,151
sf50_q7,50,q7,8.869580707047135,,147
sf50_q8,50,q8,14.838505956809968,,228
sf50_q9,50,q9,15.180348151829094,,232
sf100_q0,100,q0,8.580359566025436,,133
sf100_q1,100,q1,8.789023547433317,,133
sf100_q10,100,q10,11.323372249957174,,176
sf100_q11,100,q11,11.987690153066069,,174
sf100_q12,100,q12,11.079119401983917,,176
sf100_q13,100,q13,16.765820635017008,,243
sf100_q14,100,q14,11.380006709136069,,160
sf100_q15,100,q15,9.733538478147238,,140
sf100_q16,100,q16,12.17698407266289,,160
sf100_q17,100,q17,12.075254132971168,,173
sf100_q18,100,q18,13.851646998897195,,198
sf100_q19,100,q19,9.51579017797485,,133
sf100_q2,100,q2,9.27715909993276,,141
sf100_q20,100,q20,18.537861071061343,,300
sf100_q21,100,q21,130.75311149470508,,2012
sf100_q22,100,q22,212.77895234664902,,3029
sf100_q23,100,q23,173.9090791917406,,2581
sf100_q24,100,q24,11.333599162753671,,166
sf100_q25,100,q25,10.835777668748051,,168
sf100_q26,100,q26,11.29804598679766,,155
sf100_q27,100,q27,19.491092872805893,,334
sf100_q28,100,q28,69.69455724628642,,1143
sf100_q29,100,q29,9.648027686867863,,142
sf100_q3,100,q3,9.340362030081451,,150
sf100_q30,100,q30,12.372650648932904,,180
sf100_q31,100,q31,12.963508835062385,,188
sf100_q32,100,q32,14.009266765788198,,212
sf100_q33,100,q33,20.587905735708773,,329
sf100_q34,100,q34,20.112157233059406,,329
sf100_q35,100,q35,10.463303687982261,,159
sf100_q36,100,q36,102.55483027081937,,1650
sf100_q37,100,q37,85.6606685188599,,1379
sf100_q38,100,q38,100.24539610696957,,1635
sf100_q39,100,q39,182.42501566605642,,2760
sf100_q4,100,q4,9.727288630791008,,150
sf100_q40,100,q40,11.825273132883012,,184
sf100_q41,100,q41,11.312656078953296,,173
sf100_q42,100,q42,9.939524534158409,,156
sf100_q5,100,q5,16.133144337218255,,255
sf100_q6,100,q6,9.276457493659109,,140
sf100_q7,100,q7,8.923911753110588,,131
sf100_q8,100,q8,21.716583248227835,,362
sf100_q9,100,q9,22.259214946068823,,371
